th1;th2;th3;th4;th5;th6;th7;th8;th9;th10;node_id;label
0;656;1600;1600;1600;1600;1600;1600;1600;179,088;4;Normal
0;496;1600;1600;1600;1600;1600;1600;1600;219,432;5;Zombie
0;16;1600;1600;1600;1600;1600;1600;1600;153,424;5;Zombie
0;744;1600;1600;1600;1600;1600;1600;1600;125,904;4;Normal
0;336;1600;1600;1600;1600;1600;1600;1600;210,816;4;Normal
0;212;1600;1600;1600;1600;1600;1600;1600;256,896;5;Zombie
0;404;1600;1600;1600;1600;1600;1600;1600;167,696;5;Zombie
0;556;1600;1600;1600;1600;1600;1600;1600;136,863;4;Normal
0;228;1600;1600;1600;1600;1600;1600;1600;184,464;4;Normal
0;244;1600;1600;1600;1600;1600;1600;1600;224,784;5;Zombie
0;588;1600;1600;1600;1600;1600;1600;1600;224,784;5;Zombie
0;912;1600;1600;1600;1600;1600;1600;1600;184,464;4;Normal
0;480;1600;1600;1600;1600;1600;1600;1600;142,008;4;Normal
0;172;1600;1600;1600;1600;1600;1600;1600;173,048;5;Zombie
0;324;1600;1600;1600;1600;1600;1600;1600;96,336;5;Zombie
0;460;1600;1600;1600;1600;1600;1600;1600;79,056;4;Normal
0;220;1600;1600;1600;1600;1600;1600;1600;77,592;4;Normal
0;700;1600;1600;1600;1600;1600;1600;1600;94,552;5;Zombie
0;87;1600;1600;1600;1600;1600;1600;1600;228,352;5;Zombie
0;123;1600;1600;1600;1600;1600;1600;1600;187,392;4;Normal
0;520;1600;1600;1600;1600;1600;1600;1600;169,824;4;Normal
0;480;1600;1600;1600;1600;1600;1600;1600;206,016;5;Zombie
0;364;1600;1600;1600;1600;1600;1600;1600;105,256;5;Zombie
0;208;1600;1600;1600;1600;1600;1600;1600;86,376;4;Normal
0;332;1600;1600;1600;1600;1600;1600;1600;0,000;4;Normal
0;100;1600;1600;1600;1600;1600;1600;1600;0,000;5;Zombie
0;213;1600;1600;1600;1600;1600;1600;1600;217,648;5;Zombie
0;227;1600;1600;1600;1600;1600;1600;1600;178,608;4;Normal
0;528;438;1600;1600;1600;1600;1600;1600;200,568;4;Normal
0;388;438;1600;1600;1600;1600;1600;1600;244,408;5;Zombie
0;672;1600;1600;1600;1600;1600;1600;1600;258,680;5;Zombie
0;544;1600;1600;1600;1600;1600;1600;1600;212,280;4;Normal
